mode	strategy	seed	samples	goal	effective_edge_pct	pre_forfeit_engine_drag_pct	bust_deletion_pct	bust_rate_pct	goal_rate_pct	mean_hands
final	random	202608280	20000000	5	17.070375	-0.706595	17.775518	88.137990	11.862010	8.076223
final	random	202608280	20000000	20	16.080469	-13.104689	29.184992	97.067215	2.932785	8.700726
final	random	202609001	20000000	5	17.927879	0.133280	17.793239	88.140185	11.859815	8.076189
final	random	202609001	20000000	20	12.205320	-16.997821	29.203071	97.068530	2.931470	8.701255
final	random	202609002	20000000	5	17.661327	-0.149329	17.809047	88.133305	11.866695	8.078698
final	random	202609002	20000000	20	16.620693	-12.573887	29.194540	97.064280	2.935720	8.701329
final	random	202609003	20000000	5	17.607698	-0.189259	17.795547	88.121920	11.878080	8.077251
final	random	202609003	20000000	20	15.688171	-13.498183	29.186310	97.057090	2.942910	8.700707
final	random	202609004	20000000	5	17.006470	-0.788176	17.793408	88.119720	11.880280	8.076414
final	random	202609004	20000000	20	16.509752	-12.666084	29.175781	97.067585	2.932415	8.699941
aggregate_100m_final	random	five_blocks	100000000	5	17.454750	-0.340016	17.793352	88.130624	11.869376	8.076955
aggregate_100m_final	random	five_blocks	100000000	20	15.420881	-13.768133	29.188939	97.064940	2.935060	8.700792
final	picked	202608281	20000000	5	17.180249	1.449148	15.730983	88.022685	11.977315	7.678148
final	picked	202608281	20000000	20	19.884264	-5.960395	25.844679	97.108410	2.891590	8.271705
final	picked	202609101	20000000	5	16.237108	0.505321	15.731848	88.013090	11.986910	7.678603
final	picked	202609101	20000000	20	18.904029	-6.944621	25.848581	97.110215	2.889785	8.272718
final	picked	202609102	20000000	5	18.086426	2.357594	15.728843	88.020910	11.979090	7.678949
final	picked	202609102	20000000	20	19.547733	-6.299537	25.847280	97.106125	2.893875	8.273211
final	picked	202609103	20000000	5	17.674104	1.935058	15.739103	88.019195	11.980805	7.679170
final	picked	202609103	20000000	20	19.661636	-6.194875	25.856448	97.113190	2.886810	8.271894
final	picked	202609104	20000000	5	17.651394	1.910713	15.740660	88.024930	11.975070	7.679033
final	picked	202609104	20000000	20	19.745868	-6.096642	25.842589	97.110215	2.889785	8.272029
aggregate_100m_final	picked	five_blocks	100000000	5	17.365856	1.631567	15.734287	88.020162	11.979838	7.678781
aggregate_100m_final	picked	five_blocks	100000000	20	19.548706	-6.299214	25.847915	97.109631	2.890369	8.272311
no_boost	random	202608282	20000000	5	36.736731	18.987526	17.749196	90.547025	9.452975	7.873534
no_boost	random	202608282	20000000	20	52.674448	26.042335	26.632074	98.229775	1.770225	8.272915
no_boost	random	202609201	20000000	5	37.020205	19.277096	17.743158	90.555290	9.444710	7.872822
no_boost	random	202609201	20000000	20	52.689562	26.027176	26.662365	98.223320	1.776680	8.273923
no_boost	random	202609202	20000000	5	36.309266	18.577088	17.732251	90.540510	9.459490	7.874059
no_boost	random	202609202	20000000	20	52.574051	25.912782	26.661272	98.223025	1.776975	8.274134
no_boost	random	202609203	20000000	5	36.917730	19.153762	17.763961	90.548665	9.451335	7.874508
no_boost	random	202609203	20000000	20	52.615418	25.969868	26.645511	98.229525	1.770475	8.273295
no_boost	random	202609204	20000000	5	36.652498	18.918673	17.733947	90.542665	9.457335	7.873201
no_boost	random	202609204	20000000	20	52.728485	26.082547	26.645920	98.225375	1.774625	8.273870
aggregate_100m_no_boost	random	five_blocks	100000000	5	36.727286	18.982829	17.744503	90.546831	9.453169	7.873625
aggregate_100m_no_boost	random	five_blocks	100000000	20	52.656393	26.006942	26.649428	98.226204	1.773796	8.273627
no_boost	picked	202608283	20000000	5	22.123333	6.421599	15.701780	88.503160	11.496840	7.644945
no_boost	picked	202608283	20000000	20	33.890812	8.778767	25.112032	97.565935	2.434065	8.135005
no_boost	picked	202609301	20000000	5	21.884208	6.185369	15.698847	88.487875	11.512125	7.644096
no_boost	picked	202609301	20000000	20	33.375420	8.262271	25.113157	97.560510	2.439490	8.134439
no_boost	picked	202609302	20000000	5	21.854954	6.167864	15.687035	88.503350	11.496650	7.642822
no_boost	picked	202609302	20000000	20	32.702608	7.606194	25.096392	97.561550	2.438450	8.134932
no_boost	picked	202609303	20000000	5	21.894709	6.206673	15.688036	88.509635	11.490365	7.643438
no_boost	picked	202609303	20000000	20	32.997325	7.898096	25.099201	97.559880	2.440120	8.134389
no_boost	picked	202609304	20000000	5	22.079186	6.383332	15.695696	88.494130	11.505870	7.644305
no_boost	picked	202609304	20000000	20	33.485607	8.389039	25.096569	97.560915	2.439085	8.133850
aggregate_100m_no_boost	picked	five_blocks	100000000	5	21.967278	6.272967	15.694279	88.499630	11.500370	7.643921
aggregate_100m_no_boost	picked	five_blocks	100000000	20	33.290354	8.186873	25.103470	97.561758	2.438242	8.134523
