CONFIG	days	10000	calibration	1	schedule	1	seed	20260828	action_bps	1200	main_base	50000	esc_hands	3	esc_cap	4294967295	dont_profit_ratio	3/4	boosted_shooters_pct	0	winnings_boost_pct	0	winnings_boost_mode	all	random_shooters_pct	15	picked_shooters_pct	5	random_goal_shooters_pct_5_20	15,15	picked_goal_shooters_pct_5_20	5,5	random_winnings_pct	0	picked_winnings_pct	0	random_winnings_jitter_pct	0	picked_winnings_jitter_pct	0	random_goal_bps_5_20	3300,4500	picked_goal_bps_5_20	2000,5000
PROPOSED_RULES	high_water_goal	1	peak_jackpot_table	25x_120x__50x_225x	customs	excluded_legacy_product
DONT_PASS	profit_ratio	3/4	random_ticket_edge_pct_5_20	11.897058,11.231526	picked_ticket_edge_pct_5_20	13.357532,12.802922
POPULATION_HEADER	composition	heads	goal	fields	seats	engine_edge_pct	goal_seat_pct	all_bust_field_pct	random_winner_pct	picked_winner_pct	bounty_winner_pct	common_field_pct	rare_field_pct	common_per_entry_pct	rare_per_entry_pct	winner_peak_p95_x	winner_peak_p995_x	qualified_peak_p95_x	qualified_peak_p995_x	ending_p50_x	ending_p99_x	max_peak_x	max_ending_x	mean_hands	hands_p99	max_hands	mean_rolls	rolls_p99	max_rolls	mean_work_units	work_p99	max_work_units	cap_seat_pct	record_floor_x	record_hits	first_year_record_hits	final_record_x	dice_only_record_paid	dice_only_record_pool_end
POPULATION	all_random	1	5	200000	200000	-6.407667	11.802000	88.198000	100.000000	0.000000	0.000000	0.250000	0.023000	0.250000	0.023000	6.546900	18.020000	16.621900	67.995600	0.000000	8.666600	60665.983200	50617.133300	8.076640	15	54	68.891300	174	619	18.775440	41	116	0.000000	100	7	2	60665.983200	23668615	33485385
POPULATION	all_random	1	20	200000	200000	17.745100	2.947000	97.053000	100.000000	0.000000	0.000000	0.261000	0.021000	0.261000	0.021000	12.198000	37.824000	71.744000	311.725300	0.000000	25.633300	2433.139300	825.833300	8.699305	19	39	74.138475	217	482	19.116490	47	93	0.000000	100	5	1	2433.139300	42225526	14928474
POPULATION	all_random	2	5	200000	400000	19.130192	11.868500	81.694500	100.000000	0.000000	0.000000	0.484500	0.042000	0.242250	0.021000	8.100000	25.731700	18.553400	70.692100	0.000000	8.666600	1470.652200	757.266600	8.073522	15	36	68.774992	174	493	18.758333	41	95	0.000000	100	6	1	1470.652200	39890750	17263250
POPULATION	all_random	2	20	200000	400000	18.224917	2.864500	95.078000	100.000000	0.000000	0.000000	0.475500	0.041000	0.237750	0.020500	19.680000	50.996000	73.888100	317.778600	0.000000	25.500000	19163.417300	4745.500000	8.686887	19	48	73.970015	217	561	19.084222	47	106	0.000000	100	3	1	19163.417300	16259045	40894955
POPULATION	all_random	5	5	100000	500000	17.674327	11.905800	71.122000	100.000000	0.000000	0.000000	1.032000	0.110000	0.206400	0.022000	11.246400	41.510000	21.783500	96.508800	0.000000	8.500000	5628.947400	2939.233300	8.075992	15	43	68.867670	174	557	18.776242	41	105	0.000000	100	8	2	5628.947400	26285416	2296584
POPULATION	all_random	5	20	100000	500000	14.518713	2.909400	90.700000	100.000000	0.000000	0.000000	1.091000	0.098000	0.218200	0.019600	25.797000	80.809300	84.291300	420.988000	0.000000	25.633300	34179.715300	11788.266600	8.700588	19	50	74.237122	217	636	19.130862	47	119	0.000000	100	8	3	34179.715300	6117812	22464188
POPULATION	all_random	10	5	50000	500000	17.923300	11.898400	62.284000	100.000000	0.000000	0.000000	1.806000	0.210000	0.180600	0.021000	14.749600	65.988400	26.017400	129.289200	0.000000	8.666600	3247.253300	1117.333300	8.087048	15	40	69.055096	175	518	18.806294	41	99	0.000000	100	4	2	3247.253300	1530312	12765688
POPULATION	all_random	10	20	50000	500000	19.662673	2.941200	86.258000	100.000000	0.000000	0.000000	1.752000	0.190000	0.175200	0.019000	31.908600	114.964000	92.202000	468.797300	0.000000	25.600000	3273.712000	939.633300	8.714368	19	41	74.359796	217	503	19.153670	47	96	0.000000	100	8	4	3273.712000	4055979	10240021
POPULATION	all_random	20	5	25000	500000	17.824007	11.982400	52.496000	100.000000	0.000000	0.000000	2.884000	0.336000	0.144200	0.016800	19.019700	93.999400	30.342600	155.235700	0.000000	8.633300	2806.120800	1550.033300	8.079116	15	40	68.830256	174	459	18.774680	41	89	0.000000	100	5	1	2806.120800	5326883	1827117
POPULATION	all_random	20	20	25000	500000	15.834760	3.002000	80.644000	100.000000	0.000000	0.000000	3.028000	0.336000	0.151400	0.016800	41.147000	170.808000	108.942600	511.966600	0.000000	25.733300	9095.824000	3002.800000	8.705186	19	46	74.254316	219	554	19.139018	47	105	0.000000	100	7	5	9095.824000	3231361	3922639
