CONFIG	days	10000	calibration	1	schedule	1	seed	20260829	action_bps	1200	main_base	50000	esc_hands	3	esc_cap	4294967295	dont_profit_ratio	3/4	boosted_shooters_pct	0	winnings_boost_pct	0	winnings_boost_mode	all	random_shooters_pct	15	picked_shooters_pct	5	random_goal_shooters_pct_5_20	15,15	picked_goal_shooters_pct_5_20	5,5	random_winnings_pct	0	picked_winnings_pct	0	random_winnings_jitter_pct	0	picked_winnings_jitter_pct	0	random_goal_bps_5_20	3300,4500	picked_goal_bps_5_20	2000,5000
PROPOSED_RULES	high_water_goal	1	peak_jackpot_table	25x_120x__50x_225x	customs	excluded_legacy_product
DONT_PASS	profit_ratio	3/4	random_ticket_edge_pct_5_20	11.897058,11.231526	picked_ticket_edge_pct_5_20	13.357532,12.802922
SYSTEM_HEADER	composition	heads	days	action_per_day	risk_bankroll_per_day	engine_credit_per_day	engine_retention_per_day	engine_edge_pct	raw_main_allocation_per_day	allocation_pct_action	progressive_funded_per_day	progressive_paid_per_day	ladder_paid_per_day	net_accrual_after_allocation_per_day	net_cash_per_day	progressive_pool_end	common_per_year	rare_per_year
SYSTEM	all_random	1	5000	15572.460000	15572.460000	12275.000000	3297.460000	21.174946	51867.853200	333.074243	25934.139800	22870.475400	25367.960000	-48570.393200	-44940.975400	15855455.000000	5.329000	0.511000
SYSTEM	all_random	2	5000	30912.960000	30912.960000	24450.280000	6462.680000	20.906054	53709.140600	173.743118	26854.789400	25679.205800	26591.060000	-47246.460600	-45807.585800	6440767.000000	11.899000	1.168000
SYSTEM	all_random	5	5000	78865.200000	78865.200000	60138.080000	18727.120000	23.745733	59462.590800	75.397756	29731.501600	28702.778800	29734.060000	-40735.470800	-39709.718800	5713847.000000	27.156000	2.701000
SYSTEM	all_random	10	5000	157831.800000	157831.800000	122159.820000	35671.980000	22.601263	68942.594800	43.681055	34471.502800	34417.299400	33498.840000	-33270.614800	-32244.159400	882260.000000	47.231000	5.913000
SYSTEM	all_random	20	5000	316678.800000	316678.800000	270800.120000	45878.680000	14.487449	87971.750200	27.779488	43986.092800	43871.530400	43571.040000	-42093.070200	-41563.890400	1424858.000000	74.825000	9.563000
SYSTEM	all_random	40	5000	619497.600000	619497.600000	490871.660000	128625.940000	20.762944	124348.209200	20.072428	62174.317400	62101.538000	59274.780000	4277.730800	7249.622000	900179.000000	120.231000	13.140000
SYSTEM	all_random	80	5000	1241616.000000	1241616.000000	1076038.820000	165577.180000	13.335619	198940.750400	16.022728	99470.589400	99223.139000	95573.940000	-33363.570400	-29219.899000	1757195.000000	168.411000	21.681000
SYSTEM	all_random	160	5000	2504476.800000	2504476.800000	2079535.880000	424940.920000	16.967253	350432.292800	13.992236	175216.370400	175259.015000	173108.140000	74508.627200	76573.765000	879170.000000	235.352000	34.894000
SYSTEM	all_bankroll_pick	1	5000	15744.960000	15744.960000	12103.180000	3641.780000	23.129814	51889.122400	329.560205	25944.769200	24673.127000	24374.960000	-48247.342400	-45406.307000	6897926.000000	6.789000	1.241000
SYSTEM	all_bankroll_pick	2	5000	31299.720000	31299.720000	24509.200000	6790.520000	21.695146	53752.683000	171.735348	26876.561200	26553.728400	26018.400000	-46962.163000	-45781.608400	2179053.000000	12.191000	1.533000
SYSTEM	all_bankroll_pick	5	5000	78270.300000	78270.300000	66778.340000	11491.960000	14.682402	59388.153600	75.875720	29694.296600	29388.808400	29809.440000	-47896.193600	-47706.288400	2077483.000000	25.258000	2.555000
SYSTEM	all_bankroll_pick	10	5000	154972.200000	154972.200000	132975.560000	21996.640000	14.193926	68599.921000	44.265953	34300.176800	34058.001400	34754.860000	-46603.281000	-46816.221400	1825402.000000	37.741000	4.234000
SYSTEM	all_bankroll_pick	20	5000	314660.400000	314660.400000	239019.340000	75641.060000	24.038951	87756.863000	27.889389	43878.642000	43643.129200	45153.460000	-12115.803000	-13155.529200	1882769.000000	51.757000	7.154000
SYSTEM	all_bankroll_pick	40	5000	624396.000000	624396.000000	538307.120000	86088.880000	13.787545	124956.672600	20.012408	62478.553800	62344.777000	57749.940000	-38867.792600	-34005.837000	1570436.000000	71.905000	9.490000
SYSTEM	all_bankroll_pick	80	5000	1244932.800000	1244932.800000	965193.840000	279738.960000	22.470206	199426.484000	16.019056	99713.452000	99417.521000	101083.580000	80312.476000	79237.859000	2884532.000000	94.097000	13.870000
SYSTEM	all_bankroll_pick	160	5000	2483865.600000	2483865.600000	1905531.980000	578333.620000	23.283612	348076.441000	14.013497	174038.441600	174381.715000	165371.940000	230257.179000	238579.965000	1759328.000000	122.421000	17.739000
SYSTEM	half_random_half_bankroll_pick	1	5000	15795.720000	15795.720000	11876.760000	3918.960000	24.810265	51894.833200	328.537308	25947.623600	25144.541600	24358.440000	-47975.873200	-45584.021600	4552426.000000	6.935000	0.803000
SYSTEM	half_random_half_bankroll_pick	2	5000	31732.800000	31732.800000	25129.700000	6603.100000	20.808438	53808.878400	169.568643	26904.656200	25688.396600	26566.040000	-47205.778400	-45651.336600	6556311.000000	13.505000	1.314000
SYSTEM	half_random_half_bankroll_pick	5	5000	77695.200000	77695.200000	62264.560000	15430.640000	19.860480	59330.223400	76.362791	29665.318800	29105.622000	29294.780000	-43899.583400	-42969.762000	3227552.000000	27.010000	2.920000
SYSTEM	half_random_half_bankroll_pick	10	5000	156447.600000	156447.600000	120815.540000	35632.060000	22.775715	68767.991600	43.955926	34384.209800	34065.972200	33910.680000	-33135.931600	-32344.592200	2149774.000000	45.406000	4.453000
SYSTEM	half_random_half_bankroll_pick	20	5000	317031.600000	317031.600000	261387.900000	55643.700000	17.551468	88019.275800	27.763565	44009.852800	43799.941600	43364.060000	-32375.575800	-31520.301600	1883165.000000	71.467000	8.614000
SYSTEM	half_random_half_bankroll_pick	40	5000	623520.000000	623520.000000	507999.700000	115520.300000	18.527120	124823.861200	20.019223	62412.148000	62382.428200	65494.460000	-9303.561200	-12356.588200	720689.000000	104.317000	14.089000
SYSTEM	half_random_half_bankroll_pick	80	5000	1241030.400000	1241030.400000	1047447.500000	193582.900000	15.598562	198904.534800	16.027370	99452.484400	99446.918800	100527.160000	-5321.634800	-6391.178800	746717.000000	149.066000	20.586000
SYSTEM	half_random_half_bankroll_pick	160	5000	2470348.800000	2470348.800000	1912861.780000	557487.020000	22.567138	346483.233400	14.025681	173241.834600	173037.674000	170956.440000	211003.786600	213492.906000	1943235.000000	203.524000	28.251000
