# Unchecked-arithmetic manifest — the reviewed registry behind scripts/check-unchecked.sh.
#
# One row per `unchecked { ... }` block in the game facade, its storage base and the modules
# (scripts/lib/unchecked_extract.py). The rationale records the invariant that keeps every op
# in range; the gate keeps the registry in exact correspondence with source.
#
# Classes: BOUNDED (a guard / cap / width argument, named) · NO-OVERFLOW-OP (nothing in the block
# can leave the range) · WRAP-INTENDED (modular arithmetic on purpose) · SCALE-BOUNDED (no code
# guard: the only bound is the ETH that must be paid to reach the width — the owed lanes and the
# pass lanes, a documented design choice at DegenerusGame.sol ~:2406-2408; recorded, not hidden).
#
# Columns: CLASS  file  function  ordinal  head  rationale
CLASS	file	function	ordinal	head	rationale
NO-OVERFLOW-OP	DegenerusGame.sol	initPerpetualTickets	1	++i	Loop counter `i` is uint24 bounded by the `i <= 100` condition at :259; ++i can reach at most 101, far below 2^24.
BOUNDED	DegenerusGame.sol	_claimWinningsInternal	1	if (amount > 1) { claimDebit = amount - 1	`amount` is uint128(packed) and the `if (amount > 1)` guard at :1605 runs immediately before, so `amount - 1 >= 1` cannot borrow.
BOUNDED	DegenerusGame.sol	_claimWinningsInternal	2	payout = claimDebit + afking	claimDebit <= amount-1 < 2^128 and afking = packed>>128 < 2^128 (:1601), so the uint256 sum is < 2^129.
NO-OVERFLOW-OP	DegenerusGame.sol	claimAffiliateDgnrs	1	++i	Loop counter bounded by `i < len` where len = affiliates.length (:1696); an array length cannot approach 2^256.
NO-OVERFLOW-OP	DegenerusGame.sol	degeneretteResolve	1	++totalResolved	`++totalResolved` and `++successCount` each run at most once per loop iteration, and the loop runs len = players.length times (:1742).
NO-OVERFLOW-OP	DegenerusGame.sol	degeneretteResolve	2	++i	`++i` under the `if (i == len) break` at :1776 with len = players.length; bounded by the array length.
NO-OVERFLOW-OP	DegenerusGame.sol	_currentNudgeCost	1	--reversals	`--reversals` runs only inside `while (reversals != 0)` at :2251, so the operand is >= 1 at every decrement.
SCALE-BOUNDED	DegenerusGame.sol	entriesOwedView	1	return uint32(entriesOwedPacked[_tqReadKey(lvl)][player] >> 8) + uint32(entriesOwedPacked[	economic scale only (caps deliberately removed, DegenerusGame.sol ~:2406-2408): three uint32 lanes summed in uint32 with no cap or saturation; only the scale note at :2406-2408 (~10.7M tickets at one level). View-only.
BOUNDED	DegenerusGame.sol	getWinnings	1	return stored - 1	`stored <= 1` returns early at :2778, so `stored - 1` runs only for stored >= 2.
NO-OVERFLOW-OP	DegenerusGame.sol	afkingSnapshot	1	++i	Loop counter bounded by `i < n` with n = players.length (:2808); array length bound.
NO-OVERFLOW-OP	DegenerusGame.sol	sampleTraitEntriesAtLevel	1	++i	Loop counter bounded by `i < take` where take = min(len,4) at :2866; at most 4 iterations.
NO-OVERFLOW-OP	DegenerusGame.sol	sampleFarFutureTickets	1	++found	`++found` is gated by `found < 4` in the loop condition at :2891 and by the `tmp[4]` fixed array; max value 4 in a uint8.
NO-OVERFLOW-OP	DegenerusGame.sol	sampleFarFutureTickets	2	++s	`++s` bounded by the `s < 10` loop condition at :2891; max 10 in a uint8.
NO-OVERFLOW-OP	DegenerusGame.sol	sampleFarFutureTickets	3	++i	`++i` bounded by `i < found` with found <= 4 (:2912).
NO-OVERFLOW-OP	DegenerusGame.sol	getEntries	1	++i	`++i` bounded by `i < end`, end = min(offset+limit, total) computed in checked math at :2946-2947 and total = a.length.
SCALE-BOUNDED	DegenerusGame.sol	getPlayerPurchases	1	tickets = uint32(entriesOwedPacked[_tqReadKey(lvl)][player] >> 8) + uint32(entriesOwedPack	economic scale only (caps deliberately removed, DegenerusGame.sol ~:2406-2408): same uint32 three-lane sum as entriesOwedView; each lane is uint32-bounded, the sum has no cap or guard. View-only accessor.
WRAP-INTENDED	modules/DegenerusGameAdvanceModule.sol	advanceGame	1	cw += totalFlipReversals	cw is the raw 256-bit VRF word; adding uint64 totalFlipReversals (storage :487) is an entropy mix read only by lootbox word derivation, so a 2^256 wrap is uniform-preserving.
NO-OVERFLOW-OP	modules/DegenerusGameAdvanceModule.sol	_consolidatePoolsAndRewardJackpots	1	total = (seed % 4) + ((seed >> 16) % 4) + ((seed >> 32) % 4) + ((seed >> 48) % 4) + ((seed	Five terms, each a `% 4` result <= 3, summed into uint256: max total 15; the shifts are on an already-full-width hash so nothing leaves range.
NO-OVERFLOW-OP	modules/DegenerusGameAdvanceModule.sol	requestLootboxRng	1	++t	Loop counter on uint24 t bounded by end = level + 5 (:1393); the increment runs only while t <= end, so it cannot approach 2^24.
BOUNDED	modules/DegenerusGameAdvanceModule.sol	_tryChargeMiddayCredit	1	balance -= charge	Guard at :1625 (`if (balance < charge) return false;`) makes balance >= charge before the subtraction, so the uint256 difference cannot underflow.
WRAP-INTENDED	modules/DegenerusGameAdvanceModule.sol	_gameOverEntropy	1	fallbackWord -= totalFlipReversals	Deliberate two's-complement cancellation of the `finalWord += nudges` that _applyDailyRng (:2301) applies to the same uint64 counter; underflow wrap is exactly what makes the pair a no-op on the word.
NO-OVERFLOW-OP	modules/DegenerusGameAdvanceModule.sol	_getHistoricalRngFallback	1	++found	Counter incremented at most 5 times: the loop breaks at `found == 5` (:1791).
NO-OVERFLOW-OP	modules/DegenerusGameAdvanceModule.sol	_getHistoricalRngFallback	2	++searchDay	Loop counter under `searchDay < searchLimit` with searchLimit <= 30 (:1786), so uint24 range is never approached.
BOUNDED	modules/DegenerusGameAdvanceModule.sol	_sweepReadLevel	1	uint24 t = purchaseLevel == 0 ? 0 : purchaseLevel - 1	`- 1` guarded by the ternary (0 when purchaseLevel == 0); `+ 4` and ++t are uint24 with levels far below 2^24, and a wrapped end just makes `t <= end` false (not-found).
BOUNDED	modules/DegenerusGameAdvanceModule.sol	_afKingSubDraw	1	spanDays = covered - startDay	Guard at :2234 returns early unless covered > startDay, so the uint24 difference is >= 1 and cannot underflow.
NO-OVERFLOW-OP	modules/DegenerusGameAdvanceModule.sol	_backfillGapDays	1	++gapDay	Loop counter under `gapDay < endDay` with endDay clamped to startDay + 120 at :2258.
NO-OVERFLOW-OP	modules/DegenerusGameAdvanceModule.sol	_backfillOrphanedLootboxIndices	1	--i	Descending counter entered only when idx > 1 (:2279) and iterated while i >= 1, so the last decrement lands on 0 and exits; no underflow.
WRAP-INTENDED	modules/DegenerusGameAdvanceModule.sol	_applyDailyRng	1	finalWord += nudges	Nudge add on a full-width VRF word is the daily reverse-flip entropy mix; consumers treat finalWord as opaque 256-bit, and _gameOverEntropy (:1698) pre-subtracts the same value.
NO-OVERFLOW-OP	modules/DegenerusGameBingoModule.sol	claimBingo	1	++c	Loop counter bounded by `c < 8` (:150) over the eight color buckets.
NO-OVERFLOW-OP	modules/DegenerusGameBoonModule.sol	rollBoxBoonTiers	1	++lane	Loop counter bounded by `lane < 5` (:775).
NO-OVERFLOW-OP	modules/DegenerusGameBoonModule.sol	_rollBoxBoonLane	1	++i	Loop counter bounded by `i < boxCount`, where boxCount is a uint8 lane count extracted at :776 (<= 255).
WRAP-INTENDED	modules/DegenerusGameBoonModule.sol	_lazyPassPriceForLevel	1	wrappedTotal += PriceLookupLib.priceForLevel(passLevel + i)	Branch entered only when passLevel > type(uint24).max - 9 (:1310); the uint24 `passLevel + i` wrap is the documented fallback; the accumulator sums 10 prices far below 2^256.
NO-OVERFLOW-OP	modules/DegenerusGameDecimatorModule.sol	runDecimatorJackpot	1	++denom	Loop counter bounded by `denom <= DECIMATOR_MAX_DENOM` = 12 (constant at DecimatorModule:155).
NO-OVERFLOW-OP	modules/DegenerusGameDecimatorModule.sol	claimDecimatorJackpotMany	1	++settled	Counter incremented at most once per loop iteration, and the loop is bounded by `i < players.length`.
NO-OVERFLOW-OP	modules/DegenerusGameDecimatorModule.sol	runTerminalDecimatorJackpot	1	++denom	Loop counter bounded by `denom <= DECIMATOR_MAX_DENOM` = 12 (constant at DecimatorModule:155).
NO-OVERFLOW-OP	modules/DegenerusGameDegeneretteModule.sol	resolveDegeneretteBets	1	++i	Loop counter under `i < len` where len = betIds.length (:568); calldata array length is bounded by calldata size, so ++i cannot approach 2^256.
