# Storage write-ownership manifest — the reviewed registry behind scripts/check-write-owners.sh.
#
# One row per (variable, file) pairing that writes a shared storage-base variable, across the
# game facade, the storage base and the modules. OWNER rows name the role and, for multi-writer
# variables, how the writers coordinate; HELPER rows are the storage base's own mutators; INIT
# rows are constructor / deploy-only. Two rows are label collisions with a local variable
# (`boonPacked`), kept so the registry stays in exact correspondence with the extractor.
#
# Columns: CLASS  identifier  file  rationale
CLASS	identifier	file	rationale
OWNER	_afkingResetDay	modules/DegenerusGameAdvanceModule.sol	the crank stamps the day on which it reset the subscriber stage (subsFullyProcessed=false, _subCursor=0); sole writer
OWNER	balancesPacked	DegenerusGame.sol	claimWinnings/withdrawAfkingFunding debit a player's claimable/afking halves inline (byte-identical to the storage helpers) paired with a claimablePool debit
OWNER	balancesPacked	modules/DegenerusGameLootboxModule.sol	pullRedemptionReserve debits SDGNRS's claimable half inline (guard proved no borrow) paired with claimablePool -=; the helper's guard is dead here
HELPER	balancesPacked	storage/DegenerusGameStorage.sol	_creditClaimable/_debitClaimable/_debitAfking/_debitClaimableAndAfking/_settleShortfallNoPool/_creditAfkingValue: the per-player packed-balance mutators every module calls
OWNER	boonPacked	DegenerusGame.sol	NOT A STORAGE WRITE: deityBoonData declares a local uint32 boonPacked = deityBoonPacked[deity] in a view; label collision with the storage identifier
OWNER	boonPacked	modules/DegenerusGameBoonModule.sol	NOT A STORAGE WRITE: issueDeityBoon's local uint32 boonPacked caches deityBoonPacked[deity]; the real store is deityBoonPacked (separate row)
OWNER	boxCursorIndex	modules/DegenerusGameLootboxModule.sol	openHumanBoxes persists the open frontier index; sole writer of the human-box sweep cursor pair
OWNER	boxCursor	modules/DegenerusGameLootboxModule.sol	openHumanBoxes persists the intra-index resume position; sole writer, paired with boxCursorIndex
HELPER	centuryBonusUsed	storage/DegenerusGameStorage.sol	_setCenturyUsedFor stamps (level<<224|used); the x00 bonus cap mutator
OWNER	claimablePool	DegenerusGame.sol	claimWinnings/withdrawAfkingFunding release liability: pool -= payout in tandem with the per-player debit (solvency identity claimablePool >= sum balances)
OWNER	claimablePool	modules/DegenerusGameAdvanceModule.sol	_consolidatePoolsAndRewardJackpots adds the level-transition claimableDelta after crediting winners; one of the paired liability writers
OWNER	claimablePool	modules/DegenerusGameDecimatorModule.sol	_creditDecJackpotClaimCore moves the lootbox half of a decimator claim out of the reserved pool (pool -= lootboxPortion) when it becomes a box, not claimable ETH
OWNER	claimablePool	modules/DegenerusGameDegeneretteModule.sol	_addClaimableEth pairs pool += with _creditClaimable for Degenerette ETH wins; same identity as every other crediting site
OWNER	claimablePool	modules/DegenerusGameGameOverModule.sol	handleGameOverDrain adds deity refunds and decimator spend; handleFinalSweep zeroes it after debiting VAULT/SDGNRS/GNRUS (terminal, GO_SWEPT latch guards later withdraws)
OWNER	claimablePool	modules/DegenerusGameJackpotModule.sol	jackpot payouts (_processDailyEth liabilityDelta, golden ticket, yield surplus) add liability in tandem with _creditClaimable
OWNER	claimablePool	modules/DegenerusGameLootboxModule.sol	creditRedemptionDirect (SDGNRS pays in) += and pullRedemptionReserve -= in tandem with SDGNRS's balancesPacked half
OWNER	claimablePool	modules/DegenerusGameMintModule.sol	_purchaseForWithCached folds the ticket+lootbox legs' claimable/afking draws into one pool decrement after _settleShortfallNoPool debited the player
OWNER	claimablePool	modules/DegenerusGamePayoutUtils.sol	_creditBoxProceeds bumps the pool by boxEth while crediting VAULT 80% / SDGNRS 20%; shared payout utility inherited by modules
OWNER	claimablePool	modules/GameAfkingModule.sol	_deliverAfkingBuy debits the pool for the afking-funded + claimable-funded spend after the per-account debits (one checked RMW)
HELPER	claimablePool	storage/DegenerusGameStorage.sol	_settleShortfall applies the aggregate pool draw for both tiers; _creditAfkingValue pairs pool += with the afking credit (the only afking credit primitive)
OWNER	compressedJackpotFlag	modules/DegenerusGameAdvanceModule.sol	advanceGame arms turbo(2)/compressed(1)/chained(3), _endPhase clears <2, rngGate consumes the bonus latch; sole writer
OWNER	currentPrizePool	modules/DegenerusGameAdvanceModule.sol	_consolidatePoolsAndRewardJackpots stores the settled current pool directly (single SSTORE batch); the jackpot/gameover modules go through _setCurrentPrizePool
HELPER	currentPrizePool	storage/DegenerusGameStorage.sol	_setCurrentPrizePool narrows and stores; called by jackpot and gameover modules
OWNER	dailyFoilDraw	modules/DegenerusGameJackpotModule.sol	payDailyJackpot/emitDailyWinningTraits persist the day's winning trait sets for foil claims; one write per sealed day
INIT	dailyIdx	DegenerusGame.sol	constructor seeds dailyIdx to the deploy day so gap detection starts there
